part	cluster	size	zValue_mean	zValue_median	zValue_max	zValue_min	zValue_peak_abs	cluster_mass	clsuter_mass_log	peak_x	peak_y	peak_z	peak_region	peak_region_name	num_regions	region_labels
cortex_left	1	22	3.06370637633584	2.99954628944397	3.6	2.5	3.63857913017273	67	4.21066787046706	-3.79139232635498	-46.5213088989258	30.8302307128906	214	d23ab	2	31pv, d23ab
cortex_left	2	479	3.21093588183966	3.128089427948	4.6	2.5	4.61863565444946	1500	7.33826304403479	-22.3506774902344	-43.2125930786133	72.1212463378906	232	2	7	2, 1, 7PC, 7AL, VIP, 5L, 7Am
cortex_left	3	357	3.12961502235477	3.08070540428162	4.4	2.5	4.35685300827026	1100	7.01864578271428	-44.8404006958008	-25.943546295166	17.5734920501709	284	RI	8	OP2-3, PF, PFcm, RI, A1, PSL, LBelt, OP1
cortex_left	4	1425	3.63092014781216	3.51368856430054	6.4	2.5	6.42815732955933	5200	8.55141319310358	-5.51584434509277	-16.9644908905029	58.8415260314941	220	24dd	16	23c, 24dv, SCEF, p32pr, p24pr, a24pr, 3b, 3a, 4, 6mp, 6ma, 5m, 5mv, 24dd, 6d, 6a
cortex_left	9	30	2.69515897432963	2.69780266284943	2.9	2.5	2.87436461448669	81	4.39265457290288	-9.65146446228027	-42.0632934570312	60.6421966552734	217	5mv	2	5L, 5mv
cortex_left	12	468	3.34627992933632	3.27589595317841	5.1	2.5	5.14825677871704	1600	7.35631755587242	-51.2563171386719	-17.4799041748047	51.5853080749512	189	3b	6	3b, 3a, 4, FEF, 6d, 1
cortex_left	18	44	2.76690515063026	2.73992538452148	3.1	2.5	3.09343409538269	120	4.80191905536077	-59.0080337524414	-37.4201393127441	-0.55770218372345	309	STSdp	2	STSvp, STSdp
cortex_left	19	70	3.04319451536451	2.9630936384201	3.9	2.6	3.89760231971741	210	5.36140303315737	-61.6968879699707	-43.7761001586914	11.0784177780151	319	TPOJ1	2	TPOJ1, STV
cortex_left	20	28	2.9842751792499	2.93780755996704	3.5	2.5	3.45851016044617	84	4.42556140651216	-61.7097244262695	-46.8277969360352	-2.54555082321167	313	TE1p	2	STSvp, TE1p
cortex_left	24	46	3.1004374338233	3.04369103908539	3.7	2.5	3.70500826835632	140	4.96018460571038	-44.5605812072754	-14.6814651489258	0.577971577644348	283	52	4	OP2-3, 52, PoI1, Ig
cortex_left	26	272	3.13553765854415	2.98685467243195	4.8	2.5	4.80190658569336	850	6.74860272760406	-58.5287628173828	9.83677864074707	16.2200336456299	258	6r	8	FOP4, FOP2, FOP3, FOP1, 6r, 43, 6v, 4
cortex_left	39	109	3.25727918826112	3.2518253326416	4.2	2.6	4.24038457870483	360	5.87224012430337	-50.1252212524414	-73.3484497070312	8.67675685882568	182	MST	4	MT, MST, TPOJ2, TPOJ3
cortex_left	40	180	3.21606213119295	3.19961524009705	4.4	2.5	4.36969995498657	580	6.36111452142111	-51.7171745300293	-66.0832824707031	29.1244258880615	330	PGi	2	PGi, PGs
cortex_left	42	23	2.88065631493278	2.84434199333191	3.3	2.5	3.31758260726929	66	4.19351237124411	-54.6129875183105	-0.361395835876465	42.1993637084961	236	6v	4	4, 6v, PEF, 55b
cortex_left	43	77	2.88572048521661	2.8477349281311	3.4	2.5	3.43667125701904	220	5.40358002554561	-62.7768249511719	-33.4391670227051	32.7153396606445	328	PF	3	PF, PFop, PFcm
cortex_left	47	121	2.97227835261132	2.90877461433411	3.8	2.4	3.81867456436157	360	5.88511932641494	-7.86971187591553	47.3418388366699	-12.9690065383911	245	10r	4	10v, 10r, s32, 10d
cortex_left	55	150	3.01407757600149	2.91584360599518	4	2.5	4.01015901565552	450	6.11392913252324	-55.0744094848633	4.92398834228516	-23.9912204742432	308	STSda	5	TGd, STGa, STSda, STSva, TE1a
cortex_left	65	279	3.01307783161013	2.99598503112793	3.8	2.4	3.75945663452148	840	6.73417387356756	-13.6455736160278	46.4050636291504	47.3006057739258	251	9p	7	SFL, 8BL, 9p, 10d, 9m, 9a, 8Ad
cortex_left	68	29	3.14146722596267	3.07339835166931	4	2.5	4.03784513473511	91	4.51198579018514	-8.3947696685791	51.6081809997559	7.15615940093994	249	9m	3	a24, p32, 9m
